tweet,bencana
lol kebangun gegara gempa barusan gempa agak kenceng,gempa
serem banget ujan kali ini ada longsornya juga,longsor
iseng buka wikipedia dr gempa yg paling mematikan di abad ke di antaranya berada di indonesia,lainnya
biasanya banjir karena rembes dari sela ubin lah ini air depan rumah deres banget sampe masuk rumah,banjir
gempa kenceng banget stay safe semuanya,gempa
takut banget ujan gede longsor lebih parah yang deket gunung sih banyak rumah warga yg ketimpa batu besar sama batang pohon,longsor
bukannya pas situ jabat lebih parah gempa aceh kurang apa,lainnya
serem bgt gaboong ini pertama kali selama aku hidup disini banjir sampe setinggi ini,banjir
anjeng gempa gua kira setan lagi main main di kasur gua,gempa
untung sebelumnya itu pohon udah ditebang coba kalo belum pasti longsornya lebih parah,longsor
indonesia berduka gempa sulawesi barat mamuju amp sekitarnya negara selalu hadir rakyat yg selalu tolong menolong amp bergotong royong saling membantu amp mendoa tuk kondisi pulih baik kembali ,lainnya
aku baru tidur jam panik takut banjir kenain kasur,banjir
gue kira tadi gue pusing karna keseringan begadang ternyata emang gempa,gempa
yaampun kemarin udah muter nyari jalan karna longsor sekarang harus muter lagi karna longsor lagi mana lebih parah,longsor
open donasi untuk keluarga kita yang tertimpa musibah gempa bumi di majene dan mamuju propinsi sulawesi barat ayo salurkan bantuan kita semua,lainnya
baru bangt bisa tdur anj eh banjir ampe masuk kamar guaa gua lagi tiduran dilantai kok berasa kek lama lama dingin bgsd,banjir
gempa kerasa banget ni,gempa
kayaknya kalo mobil belum bisa karna longsornya makan separuh jalan,longsor
berbagai tragedi kemanusiaan yang terjadi di awal tahun ini mulai dari kecelakaan pesawat terbang tanah longsor di sumedang banjir bandang di kalimantan selatan dan pagi ini gempa di mamuju semoga kita senantiasa diberikan kekuatan,lainnya
kaget bgn tdr tbtb ada kolem syedih kalo banjir gini,banjir
gempa barusan kerasa bgt di jogja,gempa
jalanan macet banget karna longsor,longsor
pray for sulbar prov sulawesi barat digoncang gempa sr tadi pagi jam wita kita doakan semoga tidak banyak jatuh korban,lainnya
sip gabisa pulang anjir sejam dong kejebak banjir gila gila,banjir
allahu barusan gempa kecil,gempa
biasanya cuma menit jadi jam karna longsor pusing banget,longsor
apa ada kabar gempa sulbar telpon teman disana mati semua,lainnya
tolong yg punya contact rescue banjir daerah taman mini jakarta timur tolong info nya yaaa di rumah gue ada anak kecil dan orang tua air sudah masuk sedengkul di rumah di luar mungkin sudah se dada mau ngungsi ga bisa kalo harus jalan,banjir
gempa dong dikira tadi ada yang duduk di kasur makannya goyang,gempa
ujannya gokil banget bikin longsor dimana mana,longsor
kantor gubernur sulawesi barat diterpa gempa semoga semua keluarga kita yang ada disana baikbaik saja amiin,lainnya
niat pengen tidur sampe siang gitu kan enak ya ini kebangun gara gara banjir awal tahun yg sangat buruk,banjir
gilaaa woi gempa nya kenceng banget,gempa
di kecamatanku masih aman sig kabupaten parah banget sampe longsor,longsor
kecelakaan pesawat sriwijaya gempa mamuju banjir kalsel merapi aktif ya allah baru hari ke di semoga ini yg terakhir kedepannya tdk ada lagi kecelakaan pesawat bencana alam covid segera hilang amin ya rabbal alamin,lainnya
subhanallah ujannya ga berenti kamar banjir baru kali ini seumur umur,banjir
gempa kenceng bgt gue sampe kebangun,gempa
longsor mbak jadi macet parah,longsor
kabar pagi sulawesi barat diterpa gempa semoga sanak saudara semua dalam keadaan sehat dan baik saja amiin,lainnya
ini kaga ada alat canggih anti banjir masuk rumah apaa,banjir
gila jogja gempa gede bgt anjir sampe merinding,gempa
di domku ada longsor parah bat,longsor
mendoakan saudara saudara kita yang terkena musibah gempa di majene sulawesi barat,lainnya
hari pertama di tahun baru hampir mati kelelep banjir bandang,banjir
pertama kali merasakan gempa sebegitu gedenya di jogja yaallah,gempa
sy dapat info ada jalan rusak parah arah semarang krn longsor apakah benar mohon info terima kasih,longsor
siang simulasi gempa plg penyemprotan kaki ku rasanya pen ptus turun tangga,lainnya
boro boro taun baruan perumahan banjir anjg,banjir
lagi boker gempa,gempa
pengen banget ke sana tapi lagi musim hujan gini serem takut longsor,longsor
emang pejabat kita itu udah tai kalo megang kekuasaan jaman ada bencana tsunami duitnye dikorupsi jaman gempa di jogja duitnye dikorupsi ini lagi kopit duitnye dikorupsi ini nih hari kiamat kalo misal ada bantuan sosial ama pejabat kita juga dikorupsi,lainnya
malem tahun baru rumah sy malah banjir sebetis huu tp jadi asyik cuma diam di ruma sambil selimutan,banjir
gempa kerasa banget tapi aku doang yg ngerasa dirumah,gempa
pusing tinggal dipegunungan gini sering longsor,longsor
pesawat susi air tercatat sebagai pesawat pertama dari luar aceh yg menembus lokasi tsunami dua hari setelah kejadian pesawatnya mendarat di pulau simeulue yg terdekat dg pusat gempa,lainnya
ini lah hidup orang kampung mau nanam padi gak bisa karena banjir kota banjar jawa barat,banjir
gempa keras bgt panik anjay,gempa
stay safe gaes kayaknya bakal longsor soalnya hujannya deres banget kali ini,longsor
kita tidak bisa kaku membendung arus ombak yang deras rangkaian kereta api yang cepat apalagi yang datangnya tiba tiba tanpa diduga walaupun peraturan tertulis sudah mengatur demikian kita tidak bisa menghukum orang langgar lalu lintas ketika gempa,lainnya
masa deket rumah gw ada motor anyut gegara banjir anj ngakak tpi kasian,banjir
jogja barusan gempa mayan gede juga sampe ku kebangun,gempa
liat story orangorang ada longsor gitu serem banget,longsor
info gempa mag nov wib lok ls bt km baratdaya tuapejat sumbar kedlmn km bmkg,lainnya
pr bgt ya kan banjir dari dalem rumah,banjir
lg asik tryout taunya gempa  mana si ade sendirian di rumah lg  yaallah jgn kasih gempa lg yaaa amin,gempa
longsornya ga terlalu parah sih tapi rumahnya bisa ancur banget gitu bangunnya kurang kokoh kali ya,longsor
gempa di mentawai m kedalaman km,lainnya
yuk jangan hujan lama lama gue males liputan banjir tolong ya tolong,banjir
krasa parah td gempa mana lg kerja,gempa
udh dari tadi pagi sampe sekarang ga berenti didaerah lain udh jalanan juga udah pada longsor temenku kena katanya,longsor
ceritanya waktu di palu dulu susah tidur trus banyak gerak di kasur dikira gempa krna pasca tsunami itu masih sering terjadi gempa disana,lainnya
tugas numpuk hujan angin lampu wifi mati kamar banjir laptop lowbat sungguh hari yang indah,banjir
btw  efek gempa  sebagian tembok di ruang tamu rumah yg emang dah retak dikit  jd tambah memanjang n lebih dalem bolongnya  gokiiil,gempa
iya kak was banget aku takut longsor aja karna biasanya kalo kayak gini bakal longsor,longsor
gempa tidak berpotensi tsunami info gempa mag nov wib lok ls bt km baratdaya tanggamus lampung kedlmn km bmkg,lainnya
udah hujan angin petir dan banjir disini dikamu mah enak pasti,banjir
gue lg nntn transformer trs sofa gue goyang kira gue ada setan tnyta gempa,gempa
yah jalanan longsor dahal pen pulang ada ada aja halangannya,longsor
rakornas antisipasi bencana hidrometeorology dan gempa tsunami tahun bmkg indonesia,lainnya
menunggu jalan puncak yg lg satu arah sejam nunggu ujan banjir petir gede,banjir
td pas gempa gw lg dlm bioskop langsung kocar kacir org  lwt tangga darurat,gempa
seriusan banget longsor yaampun udah ga bisa keluar grgr ada pandemi gini longsor pula kayaknya emang dunia tidak merestui untuk keluar rumah huaa,longsor
kalo cewek udah dandan jangan sampe gajadi jalan mau ada gempa juga tetep harus jadi,lainnya
dapur banjir makanan yg ada dimeja basah semua seng tetangga sampe mampir ke halaman belakang,banjir
oh no gempa membuat dinding kamar kost saya retak,gempa
lagi perjalanan ke aceh pelosok tau jalanan longsor,longsor
iya sih tapi kaya kejadian tsunami kemarin yg di lebak dan lampung ga ada pemberitahuan dini jadi air udah pasang baru deh pada grasak grusuk ngungsi soalnya ga ada gempa kalo ada gempa dulu kan ketauan,lainnya
banjir ini sangat berbahaya waspadalah terjadap banjir,banjir
pas td sore ada gempa  nyokap gw over banget dah ngeliat rumahnya lg goyang goyang,gempa
padahal tadi baru lewat situ ga knp kok bisa tbtb longsor sih,longsor
jika bencana tersebut naudzubillah terjadi dari sarana prasarana mitigasi bencananya udh siap jd bisa meminimalisir korban jiwa satu lagi sih yg penting hingga saat ini masih belum ada teknologi yang bisa memprediksi dengan akurat kapan terjadinya gempa,lainnya
pagi hari pertama masuk ke sekolah diguyur hjn mana mau kerja bakti akibat banjir di sklh,banjir
gempa bumi yang cukup menggoyangkan sofa gw di rumah,gempa
longsor udah separah ini masih ga ada bantuan juga,longsor
jadi misal ada berita gini lg yuk tmn semua jgn smp panik berlebihan krn hngga saat ini gempa memang blm bs diprediksi kpn trjadiny tp dr hal ini sbnrnya bs jd sarana kita buat bisa mitigasi jika hal ini terjadi hal yg harus dilakukan apa salah satunya nyiapin ini,lainnya
kepikiran kamar pasti banjir airnya masuk dari jendela mana dinas malam,banjir
bokap nyokap dan ade  pada geger mengalami gempa pertama,gempa
iya tadi aku liat berita longsor untuk rumah nenekku ga kenapa,longsor
kalo gempanya udah terjadi baru disampaikan ke masyarakat mrk jg ngelakuin permodelan langsung sesaat stlh gempa jk gempa dengan parameter kekuatan sekian kedalaman sekian akan menyebabkan tsunami atau tidak jadi tsunami itu baru bisa diketahui jika udh terjadi gempanya,lainnya
hujan banjir sudah biasa hujan sudah reda namun banjirnya masih tersisa,banjir
lagi gempa  gw menikmati dalam rumah  baru skali ini ngerasain gempa sesungguhnya  brasaaa  hahaha,gempa
lumayan banyak tadi yang kecelakaan efek longsor belum dibersihin bener jalananya masih licin tanah dimana hati ya semuanya,longsor
gini aja deh ya sampai skrg tuh masih belum ada yang bisa memprediksi gempa bumi dengan akurat selama ini bmkg dan instansi lainnya di muka bumi ini yg berkutat dengan masalah kegempaan itu baru bisa melakukan analisis gempa dan dampaknya doang,lainnya
boroboro mikirin bikin video pas banjir makan ajah susah,banjir
iye gue bingung ko kursi gue goyang  ndiri eh ternyata ada gempa wakaka,gempa
tanah longsor jalanan putus logistik macet ujan badai juga kemaren mudahan segera membaiklah semua,longsor
sbnrnya ini tuh penelitian lama bahkan bmkg udh prnah bikin kaya diskusi sama sandiaga uno pas masih jadi wagub dki terutama ttg mitigasi gempa megathrust jika suatu saat terjadi,lainnya
sekalian main aer banjir apalagi pas kaki ngangkat ntu berasa kek mandi pake shower nanti,banjir
tadi pas gempa gw lagi di kampus orang  pada panik padahal escalatornya goyang  tapi kok malah pada turun lewat situ ga takut roboh apa,gempa
ogut jadi watir sama adek ogut yang ada di pondok mana jalanan menuju pondoknya rawan longsor,longsor
palang merah indonesia selalu hadir menjadi garda terdepan setia membantu mengatasi kesulitan masyarakat saat dilanda bencana seperti kebanjiran gempa bencana kebakaran hingga menangani pandemi covid memastikan ketersediaan darah menjadi pemberi solusi di masa sulit,lainnya
geli bgt tadi pas di air banjir ada kodok menghampiriku,banjir
kaget td tba  ada gempa  org  di warnet bubble pda kalap,gempa
semoga bukan hujan deras nanti jalanan rumah longsor lg,longsor
info gempa mag jul wib lok ls bt km timurlaut kedlmn km bmkg,lainnya
koper digeret menerjang banjir semoga baju selamat semua,banjir
lagi ngeringin rambut  trus gue bingung knp air mancur tetangga jatuhnya miring yah  pas gempa,gempa
hampir aja mau nabrak palang warning jalanan longsor,longsor
jangan abaikan chat anak wattpad gaes karna sekali dia buka wattpad dan mulai membaca jangankan chat mu gempa bumi pun bakal di abaikan,lainnya
bapak ibu kelurahan jatinegara kebon nanas selatan dlam banjir nih,banjir
pas gempa gue lg bengong di tmp tidur td pas kejadian gue tlp tp jaringannya buruk tp alhmdulillah dia baik,gempa
mo nyari ikan seger gajadi saking derasnya ujan karena harus lewatin gunung lagi takut jalanan disana longsor,longsor
simulasi gempa sd al azhar pulogebang ingat tenang tempat berlindung tempat berkumpul,lainnya
daripada ke ancol kan didepan rumah juga bisa berenang dan main air banjir jakarta,banjir
masih shock gara  gempa  ini kali ya rasanya,gempa
belum selesai covid kaltim longsor jalan rusak dimana,longsor
gempa kalo kecil disebut gempi kali ya,lainnya
yah gara banjir gini makan jadi ga teratur gawat deh turun lg ni berat,banjir
laptop d dpn gue jd sksi btapa bloon nya muka gue wkt korsi gue goyang dombret gr  gempa,gempa
kaget liat berita sawah jalanan pada longsor belum juga dibenahi udah ancur lagi,longsor
gempa kah apa aku yg bangun tidur terus pusing,lainnya
pulang kejakarta disambut ujan dan banjir mantap syekalii,banjir
gw bener  kaget ktika nyokab triak   gempa gempa  dgn cptn gw lompat dr tmpt tdr ampek ampir jatuh,gempa
maaf yaa aku belum bisa kesana karna jalanannya longsor,longsor
sakit kepala smpe kleyengan gni kya gempa smpe mual,lainnya
udah tau ujan mulu trus ini banjir iya kali di maklumin,banjir
gempa wkt mandi bath tub udah tumpah  ky dikocok,gempa
deket rumahku longsor njel jalanan si tapi putus akses jadinya,longsor
baru tdr bntaran eh kebangun grgr mimpi gempa,lainnya
jalanan depan tapi kosanku lantai mah aman cuma sedih kemarin gak jadi keluar gara gara mager ujan eh sekarang banjir mau main padahal,banjir
hari ini gempa jam   orang rumah gw pada panik keluar rumah dan lupa klo gw lg tidur di kamar,gempa
salah satu jalanan dekat daerah rumah retak dulu pernah juga longsor di jalan yg sama,longsor
gempa tidak dirasakan dan belum ada laporan kerusakan info bpbd kab mtb,lainnya
di awali dengan banjir jakarta indonesia,banjir
elaaah  gw lg assdos gempa lari semua dah oraang,gempa
jalanan longsor dialihkan lewat jalan kecil berlumpur hujan masih saja belum berhenti,longsor
opini bisa menimbulkan lebih banyak masalah di atas bumi daripada wabah dan gempa adalah penulis dan filsuf dari perancis lahir,lainnya
banjir ini sangat menyiksa batinku,banjir
lagi makan kok geter  gempa,gempa
haduh terus lagi gunungnya yg dikeruk terusan dan kalo ujan kan jadi longsor,longsor
kocak ya lagi asik meeting eh ada temen kena gempa,lainnya
kalo aja banjir aernya bersih dan bisa dibuat mandi hati tetap senang walau sekarang sudah se lutut,banjir
gue pas gempa di studio anteve,gempa
jalanan depan rumahku longsor ksksksk serem banget huhu takut kenapanapa,longsor
itu sama kaya orang nanya ko bisa sih ya terjadi gempa eh dijawab malah itu musibah dari tuhan kita harus mensyukurinya bisa jadi ujian juga supaya kita lebih ingat tuhan direktur bmkg denger ginian juga resign trus jadi kang bubur aje,lainnya
semoga banjir ga setinggi atap rumah gw,banjir
buat gw  gempa tadi membuat gw sukses ngumpet dibawah meja,gempa
jalanan make longsor segala hadeh,longsor
hari ini kehilangan ibu non rawung seorang senior yang juga pahlawan kemanusiaan selalu hadir diberbagai bencana apapun di indonesia hadir membantu korban tsunami di aceh dan mentawai termasuk gempa di palu,lainnya
hujan deres sederes deresnya gaess di daerah menteng jkt tiati banjir yess,banjir
btw  tadi gempa pas gue lagi kuliah lumayan bikin shock meeennn  lagi asik  dengerin dosen eh ada gempa lgsg sekelas ngibrit keluar semua,gempa
nah bener nih jln gituan aja msh trllu susah buat dlwtin aplgi pas hujan kdng longsor,longsor
pas banget mungkin ada yang sama jadi aku pernah mimpi kali di tempat yang sama dengan cerita yang sama dan ceritanya semacam adventure terus di dalam mimpi aku mimpi lagi tubuh bergetar kayak gempa bumi tapi pas buka mata ternyata hanya mimpi itu kenapa ya,lainnya
tumben kosan banjir air dari lantai turun ke lantai  satu kosan keluar awto gotong royong rame ternyata,banjir
gempa itu tiba  jd respon kita agak lambat buat sadar temen gw ada yg nyangka tetangga sebelahnya lg senam,gempa
giliran keluar mesin atm error pas pulang jalanan ketutup longsor,longsor
waktu gempa kita disuruh keluar rumah sekarang corona kita disuruh diam didalam rumah mari kita berdoa semoga tidak terjadi gempa dan corona bersamaan biar tdk mondar mandir keluar masuk rumah,lainnya
banjir smoga sgera surut,banjir
gempa tadi bkin gw shock dan trauma gw tinggal diapartment jdi brasa bgt getaran,gempa
sebenernya agak degdegan sih pulang kondisi jalanan yang lagi rawan longsor tapi bismillah aja ya,longsor
mau ada wabah virus mau ada gempa mau ada kebakaran mau ada demo kerja ya kerja,lainnya
kejebak hujan dan banjir pas kosan wifi mati,banjir
untung pas gempa rumahny ga runtuh  kalo runtuh pasti saya skrg gbsa pasang status lg  makasih ya allah,gempa
orangorang udah covid jalanan longsor masih aja keluar pada gatel amat heran,longsor
ini akun sakti betul info yg gue baca belum ada yg salah gempa aja bisa dia prediksi,lainnya
gue sama istri doang yang rumahnya udah kemasukan air banjir tapi tetep kerja,banjir
gempa hari ini menambah kalut hati saya,gempa
di gunung mas puncak jalanan rawan longsor,longsor
karakter bangsa kita adalah lu gak peduli ada perang kerusuhan penyakit gempa kalo gue butuh duit gue berangkat kerja,lainnya
banjir sebanjir banjirnya pengennya boboan ajaa,banjir
kaki masih cenut cenut abis turun dari lt  karena gempa,gempa
banyak jalanan longsor astaghfirullah stay safe semua,longsor
respon cepat tim emergency response human initiative memberikan bantuan kemanusiaan untuk bencana alam gempa bumi di sukabumi jawa barat mohon doa dan dukungan sobat semua untuk kita semua dan negeri ini,lainnya
rumah jg banjir tumben tumbenan nih,banjir
gempa bumi tadi sore sampai  tv pun goyang,gempa
udah sering banget longsor kenapa ya ga ada antisipasi gitu,longsor
info bencana sahabat inisiator bumi baru saja terjadi pada selasa pukul wib dengan kekuatan magnitudo beberapa rumah di sukabumi pun alami kerusakan akibat diguncang gempa ini mari doakan,lainnya
lagi tidur tbtb dibangunin taunya banjir udh sebetis,banjir
sedihnya  gara  gempa telp rumah rusak jd gak bisa,gempa
kl dikeruk terus apa ga takut longsor,longsor
lagi ena ena duduk jembatan kok goyang kirain gempa gak taunya ada truk tanah,lainnya
bangun karena banjir,banjir
wah gempa tadi terasa kenceng sekali di lereng gunung merbabu jawa tengah,gempa
soalnya kalo disebelah jurang kan serem kak bisa bisa longsor hii,longsor
gempa lombok pembangunan jlnt kota bekasi kolam retensi bogor daerah lain mendapat perhatian dan bantuan dari pak anies pak cukup nyantai dan selfie aja ya semua sudah terkendali dibawah pak,lainnya
kampus negeri tapi banjir,banjir
gempa paniknya cuma menit  awal  ujung nya juga kalem lagi,gempa
serem bangettttt bangunbangun liat berita longsor dimanamana suara sirine juga dari tadi bunyi mulu huhuuu,longsor
di bmkg gak ada info gempa di jawa barat,lainnya
mana abis beberes banjir lagi,banjir
ada gempa bukannya cptn ke tmpt terbuka malah bilang  gempa nii,gempa
kalo lagi musim hujan malahan jalan utama sering kena longsor bang kemaren ane masih liat bekas longsoran di jalan utama serem bener dah,longsor
pusat gempa di bangkalan teh,lainnya
belum lama tidur udah banjir aja,banjir
waktu gempa berlangsung saya joget,gempa
siang aja kalo malam takutnya longsor soalnya gelap juga,longsor
gempa ga sih,lainnya
pagi pagi nerobos banjir sedengkul,banjir
gara  gempa  jam dinding pecah,gempa
sumpah ini serem banget maksutku ujan deres gini bisa aja temboknya rubuh trus jadi longsor tiati yaa,longsor
gempa bumi guncang turki gempa bumi yang dahsyat telah menewaskan setidaknya orang dan melukai orang lainnya di turki bagian timur sabtu tim penyelamat mencari korban selamat di bawah puingpuing,lainnya
bangun tidur langsung disuprise banjir,banjir
aku takut gempa lagi,gempa
bagian jalan ke pedalaman tu suka rusak sama longsor jadi lumayan serem,longsor
menghasilkan gempa gunung api dll oleh karena itu beberapa kita lihat seperti di gunung everest bisa terdapat fossil binatang laut di puncaknya itu karena pergerakan india plate konvergen dengan eurasia mungkin temen geologi lain bisa menambahkan,lainnya
tambah tinggi aja banjir nya,banjir
moga ntar malem ga gempa lagi,gempa
disini kan longsor tanah serem ya kalo di luar negri longsor salju tu seserem tanah ga sih,longsor
ya allah lindungi saudara kami di sana amin,lainnya
banjir bro mobil kelelep rumah masuk,banjir
pas gempa lagi dirumah  gempanya yang semakin keras kucing  gw pada panik ngumpet di bawah mobil ga mau keluar selama   menit,gempa
daerah kosanku sampe longsor huhu serem euy,longsor
ini juga sama sahabat ka tita amp keluarganya puji tuhan msh baik juga ini wkt ke bali kmrn des mrka msh kontak amp jalan brg sewaktu nov bln stlh gempa kami ke sby k intan ini jemputampantr ke bandara nemenin sanai pdhl tiap ke sby pst sebisa mgkn ketemu,lainnya
itu masak yg terlambat gegara banjir masuk kedalem rumah semua lg berjibaku beres rumah,banjir
merasakan gempa dari gku lantai   subhanallah,gempa
hati serem banget tanah bergerak biasanya gejala mau longsor itu,longsor
jiwa miskin ku udh ga bergetar lagi tp udh serasa kena tsunami longsong gempa puting beliung,lainnya
banjir gini enaknya,banjir
saat tadi gempa lemot gue kumat kirain kepala gue keliyengan,gempa
tiati yg daerah rumahnya tebing gtu ini baru kejadian longsor didaerah gunung mas,longsor
seringnya kalo mabok parah itu ngasih ngasihin barang waktu gempa palu gue dateng ke sana dicekokin cap tikus gue hampir semuanya gue kasih kasihin ke orang terakhir kayak gini gue ngasih hp ke temen gue bagusnya besok sorenya pas gue sober dibalikin,lainnya
beresin rumah banjir,banjir
kenceng jg nih gempa,gempa
ya ampun serem bgt ada longsor terus pas lagi evakuasi korban ada longsor susulan makin bertambah korban nya,longsor
tadi coba nak translate kat google translate gempak nya sama dengan gempa bumi artinya,lainnya
bekasi banjir pak,banjir
tadi pas gempa gue malah gak ngeh itu gempa   malah asik tiduran padahal temen gue udh pada panik,gempa
korban jiwa gak ada kayaknya soalnya yg longsor tanah pas satu blok depan rumah,longsor
jangan sampe kelewatan ya besok januari kmovie lover rame nonton ashfall ceritanya tentang bencana gunung baekdu yang meletus mengakibatkan gempa dahsyat dan korea selatan,lainnya
ada tetangga yg rumahnya rendah jadi harus evakuasi air banjirnya udah nutupin rumahnya,banjir
sumpah gw ngerasain gempa  sereemmm bgt,gempa
untung gw udh lewat tadi ada batu longsor lagi serem ih,longsor
gila udah hari ke di masi berita buruk terus yg muncul skrg giliran aceh kena gempa,lainnya
lagi banjir malah setel ost nya titanic,banjir
gempa di bekasi  berasa bgt,gempa
kali ini serem banget longsornya ada korban jiwa takut banget,longsor
masih ada bekas vondasi yang tersisa meski gempa kuat karna material yang bagus di lahan yang cocok,lainnya
bangun tidur liat depan rumah dluar banjir lagi,banjir
is pusing kena gempa barusan,gempa
ga kayaknya kak tau longsor aja asli serem bgt,longsor
potensi bencana di yang perlu diwaspadai banjir angin puting beliung longsor gempa tektonik hal ini disampaikan kepala bmkg dwikorita karnawati dlm dialog amp konferensi pers refleksi bencana thn amp potensi bencana yg digelar bnpb hari ini dgn mdrtr,lainnya
hujan bentar pun mesti banjir,banjir
gempa dahsyat pas abis mandi  rambut masih di roll  badan cuma pake handuk  jadi gak berani keluar rumah tadi,gempa
udah lebih dari seminggu jalanan longsor masih belum dibenerin gimana mau keluar ini beli makanan,longsor
aceh dulu pernah terkena dampak besar akibat gempa dan tsunami namun skrg aceh menjadi destinasi wisata halal favorite di indonesia bagaimana itu bs terjadi semua akan dibahas sbntr lg,lainnya
aduh gmn ini kok banjir nya masuk kamar,banjir
panik gempa nya kenceng di luar plaza semanggi ada kaya reruntuhan tembok gedung,gempa
dari awal beli rumah ini udah dibilang hati takut longsor dari tetangga tapi masih aja ga diwaro akhirnya bener kan,longsor
fantastik gempa ambon yg terjadi pada sept diikuti aktivitas gempa susulan sangat banyak hingga pagi ini des mencapai sebanyak kali,lainnya
banjir sepaha di vip bekasi banyak motor jatuh terperosok lubang,banjir
barusan goyang  gempa lg,gempa
perasaan longsor mulu dah,longsor
pusdiklat pb bnpb menyelenggarakan bencana gempa bumi tsunami dan likuifikasi di provinsi sulawesi tengah,lainnya
gue kira mau begadang gara banjir,banjir
baru kali ini liat mobil d garasi loncat loncat sendiri saking gempa yg besar bgt,gempa
di sumbar deket si dari rumah tapi ya gitu kalo hujan longsor mulu,longsor
gempa bumi sr guncang kepulauan talaud sulawesi utara,lainnya
gapapa seru maen banjir,banjir
ughh  merasakan gempa berkekuatan   skala ritcher   ternyata kayak gitu tohh   allahuakbar,gempa
jepang cepet tanggep banget kalo ada longsor coba dah didaerah rumah gue boro,longsor
memanggil gempa halo pak gempa,lainnya
banjir lagi lanjutin tidur,banjir
pas gempa lagi rapat di ruang tik  untung segera keluar,gempa
gw balik kampung pun denger info dari temen dijalan perbatasan bandung bogor ada yg longsor auto males aja gw,longsor
ternyata dompet gue juga abis diguncang gempa,lainnya
kesiangan gara banjir,banjir
gempa gede bgt ni  seisi mangdu keluar  mangdu udah retak  wakkaka  pulang cepet,gempa
udah tau mau longsor gitu masih aja ga diperbaiki,longsor
pentingnya membina hubungan dengan floor warden adalah dapat mensyasati simulasi gempa di kantor,lainnya
sini lah lg banjir dsni,banjir
kuliah diakhiri gara  ada gempa  gempa di tasik  jogja kerasa bgt  gimana disana yahh,gempa
degan takut longsor melebar,longsor
gempa berkekuatan sr dua kali guncang sulawesi utara,lainnya
kaya gw dong gamasuk dua hari gara banjir,banjir
gempa di tempat les  gue pikir gurunya jail goyangin meja taunya gempa,gempa
pgn di pegunungan tp takut longsor,longsor
benar disamping itu fpi selalu beberbuat anarkis radikal ditpt bencana alam mulai dr tsunami aceh hingga gempa paluangkat bangke gotong bahan makanan n perlengkapan lain dr hasil donasi bukan ngemis dr penguasan banyak lg anarkis lainnya sbg refernsi n acuan,lainnya
gila rumah gue banjir ampe garasi,banjir
ya allah  gempa  kamar berantakan  ngeriii,gempa
aduh makin hari makin panas aja mana air juga mulai kering ini nanti hujan takut malah ada tanah longsor tapi kalau ngga hujan ngga ada air,longsor
gempa guncang rumah sakit di majalengka suasana mencekam,lainnya
sebetis didalem rumah gue banjirnya sini siap diving,banjir
pas gempa lg nonton sks di youtube sama nico tiba tiba goyang goyang,gempa
seru main air basahan klo ke tebing takut klo tibaada tanah longsor ga si,longsor
seminar mitigasi gempabumi dn tsunami di pb nu kita tdk perlu takut dan khawatir dgn gempa megathrust selama bangunan kita tahan gempa jgn bangun rumah dn tempat usaha nempel pantai paham evakuasi mandiri dn memiliki sist peringatan dini yg baik akhiri eforia megathrust,lainnya
baru ini ngerasain banjir lagi,banjir
gempa ngerobohin proyek puri bintaro lumayan lama gempanya,gempa
harus muter jauh banget karna ada longsor,longsor
seminar mitigasi gempa dan tsunami di gedung pb nu jkt,lainnya
lagi banjir mana ujan mulu gak berenti,banjir
y allah  gempa dari tasikmalaya berasa banget banget moe cilebut apa kalian yang lain juga merasakannya,gempa
berkendara didaerah yang kita kunjungi ini perlu waspada karena banyak dijumpai jalan yang longsor,longsor
jakarta november seminar geologi kesiapsiagaan bencana gempa bumi dan tsunami indonesia rawan gempa bumi dan tsunami apa yang harus dilakukan yang diselenggarakan salah satu anggota keluarga hfi yaitu,lainnya
dan akhirnya rumah gue ikutan banjir jugaa,banjir
gempaaa  gw kira gara  gw salah mukul palu dirumah trnyata gempa beneran  mana gw lagi naek tangga lagi,gempa
kira bekas longsornya udah bersih belum ya,longsor
gempa bumiayu purwokerto cilacap m nov pukul wib lok ls bt kedalaman km dirasakan di cilacap iii mmi bumiayu iiiii mmi diduga kuat pemicu gempa ini adalah sesar bumiayu,lainnya
banjir udah selutut didalem rumah dikosan siaga diluar,banjir
akibat gempa  pestanya bubaarrr,gempa
gini amat punya rumah dipegunangan sering banget longsor,longsor
manado kembali diguncang gempa sr warga panik karena trauma,lainnya
perum udeh banjir gimana kabar hi,banjir
dufan gempa  gw ngerasaa  gede banged  bener  pusing bergoyang,gempa
day setelah bantu warga langsung berangkat ngecek sumber air bersih dan kondisi jalan yang rusak karena longsor,longsor
stau safe ya yang di maluku utara sama sulawesi utara,lainnya
banjir sedada wah mau ngungsi dimana ini,banjir
gokil gempa jo  berasa bgt di kantor gw  parah,gempa
males pulkam karna covid sama jalanan ke kampung rawan longsor,longsor
stay save teman yg berada di maluku utara semoga allah swt melindungi kita semua aamiin,lainnya
tetap bisa senang di tengah banjir,banjir
gempa wow  gw lg nyender di balkon untung msh selamet,gempa
emang kalo pas bangun rumah ga ngecek dulu apa bisanya deket tebing kan jadi kena longsoran gitu,longsor
innalillahi gempa besar di maluku utara pemutakhiran peringatan dini tsunami di sulut gempa mag nov wib,lainnya
deres banget ampe banjir,banjir
